posicion;cliente_id;cliente;empresa;ventas;frecuencia_egresos;ticket_promedio
255;244;OCP PEDRO VICENTE M.;TECFOOD;8216.1395353576;129;63.6910041500589
256;110;CPP RETAIL;TECFOOD;8207.24123049;69;118.945525079565
257;1655;TELEVICENTRO;TECFOOD;8182.2831893796;127;64.4274266880284
258;2003;GYE GRUPO GRUPASA RETAIL;COALSE;8132.43810834;63;129.08631918
259;706;GH 112 SUMINISTROS PCP SGQ;TECFOOD;7939.5185929;37;214.581583591892
260;552;ORION TETETES RETAIL;TECFOOD;7668.61707199;68;112.773780470441
261;1863;GYE LA FABRIL MANTA EVENTOS;COALSE;7588.7721313481;109;69.6217626729184
262;587;AGLOMERADOS COTOPAXI EVENTOS;TECFOOD;7555.4830292233;53;142.556283570251
263;1470;COL. LICEO ORTEGA COMEDOR;TECFOOD;7466.9374640154;189;39.5076056297111
264;1681;COL. JULIO VERNE RETAIL;TECFOOD;7185.6182913968;93;77.2647128107183
265;1035;FERRERO SUMINISTROS;TECFOOD;7135.9916171858;118;60.4745052303881
266;1529;PETROECUADOR SPF HOTELERÍA;TECFOOD;7103.41114574;46;154.42198142913
267;272;OCP PEDRO VICENTE M. RETAIL;TECFOOD;6916.2157073;120;57.6351308941667
268;2006;GYE GRUPO GRUPASA EVENTOS;COALSE;6885.8198601737;31;222.123221295926
269;632;GYE PRONACA PL AVES BUCAY EVENTOS;COALSE;6591.1757037472;22;299.598895624873
270;1678;COL. JULIO VERNE COMEDOR;TECFOOD;6328.9750194853;167;37.898054008894
271;1913;GYE OMARSA PUERTO INCA 2 RETAIL;COALSE;6306.926;11;573.356909090909
272;1639;GYE OMARSA PUNTA CARNERO;COALSE;6121.2188831966;137;44.6804298043547
273;1987;CCDC – RIG 28 HOTELERIA;TECFOOD;6032.33188565;38;158.745575938158
274;1286;PLUSPETROL VILLANO A COFFEE POINTS;TECFOOD;5909.70861451;92;64.2359632011957
275;433;ENIGAS NORTE;TECFOOD;5871.3537564422;120;48.9279479703517
276;1284;PLUSPETROL CPF COFFEE POINTS;TECFOOD;5859.74550455;90;65.1082833838889
277;1380;COL. LICEO INTERNACIONAL COMEDOR;TECFOOD;5712.8967269766;183;31.2180149015115
278;1455;PLUSPETROL VILLANO A RETAIL;TECFOOD;5689.51719967;52;109.413792301346
279;769;GYE HOSP. L.V. DIETA CREMOSITO;COALSE;5606.9377610675;116;48.3356703540302
280;746;COL. AMERICANO EVENTOS;TECFOOD;5031.1857968833;47;107.046506316666
281;892;PLUSPETROL CPF RETAIL;TECFOOD;4788.19852485;52;92.0807408625
282;618;GYE OMARSA PLANTA EVENTOS;COALSE;4570.86951876;23;198.733457337391
283;569;ECUAJUGOS CD EVENTOS;TECFOOD;4538.1118561925;44;103.138905822557
284;1259;GYE PLANTABAL S.A. EVENTOS;COALSE;4474.0599901177;17;263.179999418688
285;1989;GYE GRUPO DIFARE SUMINISTROS;COALSE;4471.88440741;68;65.7630059913235
286;1439;PLUSPETROL CPF HOTELERÍA;TECFOOD;4290.13730244;34;126.180508895294
287;1063;HOSP. METROPOLITANO LA ROTONDA RETAIL;TECFOOD;4104.4396060268;90;45.6048845114089
288;576;ECUAJUGOS FABRICA EVENTOS;TECFOOD;4087.8570100926;39;104.816846412631
289;904;GPF PROVEFARMA CD EVENTOS;TECFOOD;4028.4417034532;55;73.24439460824
290;1074;GYE PRONACA PL DURÁN (COMBO);COALSE;3972.2106744092;135;29.4237827734015
291;573;ARCA CALDERÓN EVENTOS;TECFOOD;3936.5974390892;89;44.2314318998787
