cliente_id;cliente;empresa;segmento;recencia_dias;frecuencia_egresos;ventas;ticket_promedio;productos_diferentes;dias_activos;cluster;componente_1;componente_2
1469;COL. TERRANOVA COMEDOR;TECFOOD;Clientes estrategicos;3;224;10538.6393893375;47.0474972738281;230;61;1;-1.34726171531701;-1.01739561902601
521;COL. TERRANOVA RETAIL;TECFOOD;Clientes estrategicos;3;182;40121.3830231752;220.447159467996;229;54;1;-1.86266776456298;-0.067373184602897
797;COL. WILLIAM SHAKESPEARE RETAIL;TECFOOD;Clientes estrategicos;3;98;8323.87142971;84.9374635684694;107;32;1;-0.706985042931654;-0.518116125651601
1466;COL. WILLIAM SHAKESPEARE COMEDOR;TECFOOD;Clientes estrategicos;3;202;9083.3315052531;44.9669876497678;216;52;1;-1.19359436698332;-0.989559578992981
1336;CRANSA S.A.;TECFOOD;Clientes estrategicos;6;146;42135.7075898344;288.600736916674;465;32;1;-1.71432549977317;0.620946942733075
981;ELAPLAS;TECFOOD;Clientes estrategicos;6;195;8999.0082777107;46.1487603985164;310;32;1;-0.949172884946748;-0.510851918955701
432;ENIGAS BEATERIO;TECFOOD;Clientes estrategicos;6;213;15967.5832299747;74.9651794834493;323;33;1;-1.22847320963533;-0.237750936966452
433;ENIGAS NORTE;TECFOOD;Clientes estrategicos;6;120;5871.3537564422;48.9279479703517;236;32;1;-0.647070555208056;-0.50241035484837
1035;FERRERO SUMINISTROS;TECFOOD;Clientes estrategicos;6;118;7135.9916171858;60.4745052303881;194;32;1;-0.674032944256471;-0.40637528363815
7;GH 100 COMEDOR PCP UIO;TECFOOD;Clientes estrategicos;4;395;364286.449733695;922.244176541001;477;67;1;-3.12193762474443;0.864646979118948
880;GH 111 MEGAPAN PCP SGQ;TECFOOD;Clientes estrategicos;3;327;94868.0386036755;290.116326005124;199;99;1;-2.48370769937187;-0.169474355387201
296;GH 111 MEGAPAN PCP UIO;TECFOOD;Clientes estrategicos;4;344;176521.060031575;513.142616370857;204;77;1;-2.6060555612628;0.354434650672132
533;GH 112 SUMINISTROS PCP UIO;TECFOOD;Clientes estrategicos;6;33;8613.13971475;261.004233780303;32;32;1;-0.149662260232208;0.231271672849757
502;GYE ASISERVY;COALSE;Clientes estrategicos;4;266;104018.933477514;391.048622095918;355;64;1;-2.44066012276841;0.347846639263532
1992;GYE EL CAFE;COALSE;Clientes estrategicos;4;267;69388.990229616;259.883858537888;355;64;1;-2.26417093033151;0.108288106803822
1767;GYE EXPOSYNERGY S.A.S.;COALSE;Clientes estrategicos;6;160;113907.904623779;711.924403898617;292;37;1;-2.0789470810193;1.02996626946759
2003;GYE GRUPO GRUPASA RETAIL;COALSE;Clientes estrategicos;7;63;8132.43810834;129.08631918;30;31;1;-0.104958394634372;-0.137216010313345
1360;GYE HOSPC. CORAZON DE JESÚS ADMINISTRACIÓN;COALSE;Clientes estrategicos;6;136;38060.5079710794;279.856676257937;292;32;1;-1.5309597467866;0.540437781215399
1361;GYE HOSPC. CORAZON DE JESÚS DIETA GENERAL;COALSE;Clientes estrategicos;6;140;83617.4534598682;597.267524713344;288;33;1;-1.88502105025103;0.970911559368942
1363;GYE HOSPC. CORAZON DE JESÚS DIETA DIABÉTICA;COALSE;Clientes estrategicos;6;142;77880.6617407583;548.455364371537;265;33;1;-1.83117468453881;0.909040303119368
1364;GYE HOSPC. CORAZON DE JESÚS DIETA LICUADA;COALSE;Clientes estrategicos;6;123;20624.2826481352;167.677094700286;148;32;1;-1.06135391296136;0.149466999553643
1357;GYE HOSP. NEUROCIENCIAS ADMINISTRACION;COALSE;Clientes estrategicos;6;155;60178.2914240931;388.247041445762;336;32;1;-1.78128446186973;0.74838238220969
1358;GYE HOSP. NEUROCIENCIAS DIETA GENERAL;COALSE;Clientes estrategicos;6;144;147823.431466149;1026.55160740381;271;32;1;-2.10678525753011;1.29110899926433
1855;GYE LA FABRIL MANTA;COALSE;Clientes estrategicos;4;263;120642.414282101;458.716404114452;334;65;1;-2.49318863616059;0.427475533602377
1857;GYE LA FABRIL MANTA MULTIUSOS;COALSE;Clientes estrategicos;4;268;89190.1889622865;332.799212545845;320;64;1;-2.34428478978736;0.238761560711088
1952;OMARSA CAMAREXPO GYE;COALSE;Clientes estrategicos;6;144;50009.8790541759;347.29082676511;411;32;1;-1.75263841363293;0.712724758941338
213;GYE PROCARSA;COALSE;Clientes estrategicos;6;145;143556.359403495;990.043857955139;358;33;1;-2.18636004011305;1.29670446791267
215;GYE PROEXPO;COALSE;Clientes estrategicos;6;157;199760.806990188;1272.36182796298;378;33;1;-2.35246449821387;1.44950582521773
1074;GYE PRONACA PL DURÁN (COMBO);COALSE;Clientes estrategicos;6;135;3972.2106744092;29.4237827734015;164;38;1;-0.451266543739487;-0.911814478670201
218;GYE PRONACA PL AVES BUCAY;COALSE;Clientes estrategicos;6;150;153690.264147249;1024.60176098166;363;35;1;-2.24570280138671;1.29605443873871
219;GYE PRONACA PL DURÁN;COALSE;Clientes estrategicos;6;150;88728.7284211251;591.524856140834;348;35;1;-1.9934531518481;0.967777484679462
1200;GYE SANTA PRISCILA 2;COALSE;Clientes estrategicos;4;305;713465.361375914;2339.23069303578;327;64;1;-3.2694130472607;1.38299048832717
